index,1. open,2. high,3. low,4. close,5. volume
2020-11-11 20:00:00,64.37,64.37,64.0,64.0,550.0
2020-11-11 18:00:00,64.37,64.37,64.37,64.37,100.0
2020-11-11 17:00:00,64.38,64.38,64.38,64.38,10378.0
2020-11-11 16:00:00,65.07,65.27,64.3,64.37,446978.0
2020-11-11 15:00:00,65.16,65.285,64.47,65.1,134748.0
2020-11-11 14:00:00,65.885,65.94,65.0,65.13,111864.0
2020-11-11 13:00:00,67.05,67.05,65.6608,65.885,133920.0
2020-11-11 12:00:00,67.395,67.77,67.09,67.095,79140.0
2020-11-11 11:00:00,67.82,68.3,67.25,67.47,87272.0
2020-11-11 10:00:00,69.82,70.48,67.64,67.75,90225.0
2020-11-11 08:00:00,69.5,69.5,69.5,69.5,169.0
2020-11-11 06:00:00,69.5,69.5,69.5,69.5,200.0
2020-11-10 17:00:00,69.2,69.2,69.2,69.2,5798.0
2020-11-10 16:00:00,69.105,69.32,68.79,69.2,284099.0
2020-11-10 15:00:00,68.37,69.11,68.32,69.09,83568.0
2020-11-10 14:00:00,68.145,68.38,67.58,68.22,94648.0
2020-11-10 13:00:00,67.9,68.25,67.585,68.17,59343.0
2020-11-10 12:00:00,68.11,68.52,66.83,67.48,151614.0
2020-11-10 11:00:00,69.55,70.09,67.7201,68.11,157054.0
2020-11-10 10:00:00,69.34,70.72,69.25,69.685,178383.0
2020-11-10 08:00:00,69.0,69.0,68.8,68.8,2232.0
2020-11-09 17:00:00,69.34,69.34,69.34,69.34,18365.0
2020-11-09 16:00:00,69.55,70.38,69.32,69.34,578654.0
2020-11-09 15:00:00,68.76,69.89,68.7,69.55,160583.0
2020-11-09 14:00:00,68.59,69.23,68.18,68.715,184766.0
2020-11-09 13:00:00,67.25,68.85,67.0,68.5,154132.0
2020-11-09 12:00:00,66.51,67.02,65.52,67.01,305421.0
2020-11-09 11:00:00,65.5591,66.91,65.34,66.6,271737.0
2020-11-09 10:00:00,64.28,66.43,63.0,65.615,228544.0
2020-11-09 09:00:00,64.8,64.8,63.85,64.5,1984.0
2020-11-09 08:00:00,61.0,63.11,60.91,63.11,1791.0
2020-11-09 06:00:00,58.32,58.32,58.32,58.32,170.0
2020-11-06 18:00:00,58.18,58.18,58.18,58.18,100.0
2020-11-06 17:00:00,58.67,58.67,58.67,58.67,14357.0
2020-11-06 16:00:00,58.645,59.11,58.21,58.64,247630.0
2020-11-06 15:00:00,59.7,59.79,58.6,58.65,147859.0
2020-11-06 14:00:00,58.58,59.77,58.52,59.61,192657.0
2020-11-06 13:00:00,58.39,58.67,58.03,58.63,142732.0
2020-11-06 12:00:00,58.75,59.21,58.4,58.4,219809.0
2020-11-06 11:00:00,58.42,59.26,58.165,58.685,139035.0
2020-11-06 10:00:00,58.31,59.85,58.31,58.33,111468.0
2020-11-06 09:00:00,58.65,59.0,58.65,59.0,1204.0
2020-11-05 17:00:00,58.62,58.62,58.62,58.62,4157.0
2020-11-05 16:00:00,59.03,59.11,58.39,58.62,181157.0
2020-11-05 15:00:00,58.815,59.35,58.73,59.06,90113.0
2020-11-05 14:00:00,58.9,59.0,58.63,58.75,65581.0
2020-11-05 13:00:00,58.2,58.85,57.78,58.84,83034.0
2020-11-05 12:00:00,58.49,58.49,57.745,58.24,148621.0
2020-11-05 11:00:00,58.42,59.175,58.32,58.44,232059.0
2020-11-05 10:00:00,57.25,58.6262,57.25,58.415,131508.0
2020-11-05 09:00:00,58.35,58.35,58.35,58.35,403.0
2020-11-05 06:00:00,58.35,58.35,58.35,58.35,330.0
2020-11-04 20:00:00,56.65,56.65,56.65,56.65,1150.0
2020-11-04 17:00:00,56.65,56.65,56.01,56.01,4739.0
2020-11-04 16:00:00,56.911,57.06,56.52,56.66,195325.0
2020-11-04 15:00:00,57.395,57.55,56.83,56.89,50305.0
2020-11-04 14:00:00,57.63,57.77,57.1377,57.395,98658.0
2020-11-04 13:00:00,57.72,58.195,57.61,57.69,70904.0
2020-11-04 12:00:00,57.075,57.83,56.7201,57.7417,132997.0
2020-11-04 11:00:00,56.31,57.135,56.0403,57.0465,138255.0
2020-11-04 10:00:00,57.1,57.37,54.34,56.32,193054.0
2020-11-04 09:00:00,57.75,57.75,57.5,57.5,1132.0
2020-11-03 20:00:00,57.5,57.5,57.5,57.5,900.0
2020-11-03 19:00:00,56.65,57.55,56.65,57.55,2100.0
2020-11-03 18:00:00,56.62,56.63,56.62,56.63,530.0
2020-11-03 17:00:00,57.37,57.37,57.0,57.0,7080.0
2020-11-03 16:00:00,57.61,57.83,57.16,57.38,246443.0
2020-11-03 15:00:00,57.65,57.98,57.505,57.585,125427.0
2020-11-03 14:00:00,57.365,57.725,57.195,57.66,93642.0
2020-11-03 13:00:00,57.09,57.75,56.915,57.34,170623.0
2020-11-03 12:00:00,56.92,57.29,56.54,57.1,115635.0
2020-11-03 11:00:00,57.115,57.21,56.33,56.855,194448.0
2020-11-03 10:00:00,56.5,57.36,55.25,57.08,180638.0
2020-11-03 09:00:00,56.0,56.4,56.0,56.4,245.0
2020-11-03 08:00:00,55.5,56.0,55.5,56.0,459.0
2020-11-02 20:00:00,55.1,55.25,55.1,55.25,301.0
2020-11-02 18:00:00,55.1,55.1,55.1,55.1,1233.0
