,text
38,"#China is engaged in 𝗚𝗘𝗡𝗢𝗖𝗜𝗗𝗘 against #Uyghurs, has crushed freedom in #HongKong
, and is threatening to destroy the sovereign nation of #Taiwan
.
@JoeBiden
’s buddy, with his own suspicious Chinese connections, says what?"
39,"Climate change is the most urgent national & international security threat we face. 

Rising sea levels, carbon emissions, higher temperatures, & extreme weather patterns will have devastating political, economic, social, & health effects on all.

Biden gets it; Trump doesn’t."
40,"Because that’s the only thing left that #China can frame #Uyghurs of ...

So much kudos for ppl’s wisdom when it comes to #China’s uninterrupted lies & propaganda ..."
41,"Police in Poksam County (Kashgar) reveal the extent of the ""terrorist"" threat. In addition to knives (yes, deadly but also a symbol of Uyghur culture), the security force found slingshots, flashlights, and a rusty guandao 关刀--warn families of detainees are potential threats 1/"
42,"A fantastic thread by 
@LindsAKennedy
 detailing the evidence we seen of Uyghur oppression while reporting throughout Xinjiang. 

We don't know how many of the faces in these photographs are still alive or free today. 

#Xinjiang #UyghurGenocide #UyghurLivesMatter #Uyghurs"
43,"It's exactly 4 years since @NathanPSouthern and I travelled to #Xinjiang to report on #China's treatment of the #Uyghurs. This was before 1 million people were forced into internment camps, but there were already plenty of signs things were heading in that direction (a thread)."
44,"#BoycottChinaCCP #BoycottChinesProducts made by #Uyghurs slave labor in concentration camps in Xinjiang, China.
#UyghursLivesMatter #UyghursGenocide
#FreeHongKong, too! "
45,"3/3 My opinion: A person's right to live peacefully and practice any faith they choose is a human right. The govs of China and Myanmar (#Rohingya) are systematically suppressing Muslim lives.
 #Ozil #UighurGenocide #Uyghurs #Uighurs #UighurLivesMatter"
46,"Muslim's prayers are with the #Uyghurs.

#MuslimBrotherhood"
47,"“You don’t know how he died; you don’t know when he died. And you can’t even kiss him for one last time.”
These are the words of Uyghur poet Fatimah Abdulghafur. Fatimah lives in Australia. In September 2020 she learned of the death of her father ... https://thediplomat.com/2020/10/chinas-barbarity-toward-uyghur-families-should-shock-our-consciousness-and-spur-action/?fbclid=IwAR1OK0YfizC2rFAad0QC_eKVpVrk5dDOwTnYgy5L6_SUYf74edWS6xw1glI…"
48,"""..the elements of genocide laid out in the convention on the prevention of genocide are being met in the #Chinese regime’s actions.  The ideology and methods that are being used to carry out genocide will not stop with the #Uyghurs.""-
@RushanAbbas
 w/
@BrianKarem
 & 
@GlobalStratView"
49,"A fantastic thread by 
@LindsAKennedy
 on our trip reporting from Xinjiang looking at the looming genocide of the ethnic Uyghur population. #Xinjiang #UyghurGenocide #UyghurLivesMatter #Uyghurs"
50,"""...if international community does not condemn #HumanRights
 abuses in #Xinjiang...#China, a precedent will be set, and these methods will be adopted by other regimes.

Complacency...lack of access...free #press...silencing and harassment of #Uyghurs living abroad."""
