,text
150,"What ignorance. Since 2011 I've been to #Budapest spent month working in #Warsaw, 2 weeks in #Beijing. #Hungary & #Poland are in no way totalitarian. I went anywhere, talked to anyone about anything. Read anything.
Beijing is totalitarian. #Uyghurs #Tibet"
151,"#BCNDP silent on #China’s human rights; ambiguous on #BeltandRoad Initiative #BCelxn2020 #bcpoli #bri #cdnpoli #Vancouver #HongKong #Uyghurs #Taiwan #Tibet  https://biv.com/article/2020/10/bc-ndp-silent-chinas-human-rights-ambiguous-belt-and-road-initiative… via 
@BIVnews"
152,"Call on the Chinese government to stop its campaign targeting #Uyghurs, Kazakhs and other predominantly Muslim ethnic groups inside and outside China. Act now with 
@AmnestyNow
: https://e-activist.com/page/56653/action/1?mode=DEMO&locale=en-US&utm_source=twitter&utm_medium=postaction&ea.tracking.id=postaction_twitter…"
153,"VC Cheryl de la Rey claimed that she stands for ""anti-discrimination, social equality and why universities should be uncompromising in our commitment to human rights"", yet she failed to sufficiently support #Uyghurs, #FalunGong, and #Christians in China. https://stuff.co.nz/the-press/news/120609752/life-in-south-africa-enabled-me-to-respond-says-canterbury-vice-chancellor…"
154,"Poster 227 : ""Mr. #Xi""
#XiJinping , #China's dictator and Secretary General #CCP (a mafia organization)
#APosterADay4Uyghurs Day 227
I make a poster every day to draw people's attention to the #Uyghurs plight. Please retweet, follow, and make #Uyghur cause more visible. Thanks."
155,Thank you to all who use their talents to raise awareness of the genocide of #Uyghurs
156,"A French rap video highlights Uyghur oppression in China. The video has gone viral within the Uyghur community, and is trending in France."
157,"Disagree Gero: Turkey s changing Balance of Power,as an ISIS Caliphate,thus a threat in #Kosovo #Albania #Algeria #Mali #Nigeria #BokoHaram,#Caucasus area,incl all #Turkic Tribes,ending in""jan""+ #CHI #Uyghurs,along w allying w #Chechnya -It's even Threatening #Israel 
@sfrantzman"
158,"#Uyghurs need our help. 
#UyghurGenocide #UyghursLivesMatter"
159,"-- Beat 937: Fatimah, Australia (English) --
 
Fatimah testifies for a number of friends and acquaintances whom she knows were detained years ago, with no news since. #uyghurpulse"
160,Pompeo needs to stop killing #Uyghurs #UyghurGenocide
161,"The only difference between what #China is doing to #Tibetans, #Uyghurs ,#Innermongolians and what #Japan did to #China is now and then"
162,"And Germans built Germany, Russians built Russia, French people built France, Japanese people built Japan ... 

#China is genociding #Uyghurs to build “Xinjiang” ... & and more of “Chinese” people"
163,"Human Trafficking Found in Xinjiang Supply Chains.
#Uyghurs  #ForcedLabor   #HumanTrafficking"
164,"Shamless liers stop lying ! 
Release my sister from evil #chinese #ConcentrationCamps !!
@ChineseEmbinUS
 @AmbCuiTiankai
 
Where is justice for #Uyghurs? 
@UN
 @UNWatch
 @UNHumanRights
 @CNN
 @BBCWorld
 @nytimes
 

https://twitter.com/qelbinur10/status/1214058448310210560?s=21…"
165,It's really atrocious what the Chinese communist party is doing to the #Uyghurs.
166,"If you notice, among all the cruel hate speeches against Uyghur Muslim, Moeed Yusuf uttered one truth about his best friend #Chinese: #China is committing genocide & soon #Uyghurs'll disappear. Best friends know each other well. Allah witnesses everything, whatever is happening."
167,Have you read the excoriating lead article on the persecution of Uyghurs in the respected news magazine The Economist? Read their challenge to the world here https://economist.com/leaders/2020/10/17/the-persecution-of-the-uyghurs-is-a-crime-against-humanity#uyghur… #uyghurs
168,"Among all the cruel hate speeches against Uyghur Muslim, Moeed Yusuf uttered one truth about his best friend #Chinese: #China is committing genocide & soon #Uyghurs'll disappear. Best friends know each other well. Allah witnesses everything, whatever is happening."
169,"https://bit.ly/37q1FZW

Thank you, 
@NathanHondros
 once again for this insightful article you wrote last year when we met in Australia 
. I hope you continue shedding light on the #genocide & persecution which #Uyghurs face because of #China’s oppressive policies!"
170,"We are quickly making progress on this book. We are about a quarter way finished ! Please support us by donating, so that when it is complete , we will have no issues with distribution ! Thank you! https://gofundme.com/f/257mmmoyw0?sharetype=teams&member=5837798&utm_medium=social&utm_source=twitter&utm_campaign=p_na+share-sheet&rcid=0f180c2a391f46b489968e0bd06b6897… 
@gofundme
 #UyghurGenocide #UyghurLivesMatter #Uyghurs"
171,"Concentration camps, forced marriage, forced labour, forced sterilisation, endless torture and detain...
Pls #BoycottChina & #BoycottBeijing2022, for its violation of human rights n its genocide towards #Uyghurs."
172,If you want to find out more about the plight of #Uyghurs this is an excellent thread outling the journalists and researchers who have uncovered the appalling treatment of Muslim minorities by the Chinese government.
173,"THREAD: Following our cover this week on Uyghurs, I wanted to highlight scholars, journalists, activists and exiles who have helped expose and explain what is happening in Xinjiang, from the camps to population control to the diminishing of Uyghur identity https://economist.com/leaders/2020/10/17/the-persecution-of-the-uyghurs-is-a-crime-against-humanity…"
174,"Your pro-#CommunistChina mfr stance serves the CCP's interest; hence why they allow you to live/twitter untouched (but monitored). Every day HK, Tibet, Taiwan, #Uyghurs, US State Dept are proof safety is ABSOLUTELY NOT the case for freedom loving people; 
@danharris
' point."
175,"Inbox cluttered with articles shared by colleagues around the globe? Organize your reference library into groups to share with hundreds or thousands of colleagues, and begin to collaborate with EndNote."
176,"seat China at 
@CityOfTheHague
 for #GENOCIDE of #Uyghurs and 
@Tibetans
, 
@DFAT
 @MOFAJapan_EN
 @Portugal_MOFA
 @SwissMFA
 @BelgiumMFA
 @Ulkoministerio
 @DFATIrl
 @zoltanspox
 @GreeceMFA
 @MFABulgaria
 @DutchMFA
 @MVEP_hr
 @SlovakiaMFA
 @MZZRS
 @PolandMFA
 @Latvian_MFA
 @LithuaniaMFA
 @MAERomania"
177,"This is what we believe.
#Hongkong #Belarus #Thailand #Uyghurs #Tibet #Taiwan"
178,"You are not alone too~
My friend Hong Kong!"
179,"@Chinamission2un
 @antonioguterres
 @mbachelet
Yes, all states are guilty, in varying ways and degrees of abusing the #HumanRights
 and #Freedoms of their peoples.
This is, however, no reason for not urgently addressing the abuses the rights and freedoms of the #Uyghurs in #China."
180,"Some in the #US repeatedly fabricate the so-called ""human rights abuses"" against the #Uyghur people in China. 
But do they know there are 56 ethnic groups in China?"
181,This is an incredible initiative. A broad range of faith leaders and human rights organizations have come together to demand action in defence of #uyghurs. Words are not enough. #UyghurGenocide #UyghurLivesMatter #cdnpoli #china twitter.com/CIJAinfo/statu…
182,"The “re-education” camps in Xinjiang is going down in history as the most shameful stain of our time. We, the entire human race, will be judged and looked down upon by our offsprings for letting this happen to #Uyghurs in exchange for cheap stuff and easy money."
183,#Uyghurs’ culture is a gem of all Turkic people and the world. We must stop the #genocide against them by the #ccp and #Chinazi-s.
184,"Five years ago, leading #Uyghur poet Tahir Hamut Izgil was traveling in Paris.

He got lost.

The result was one of the greatest Uyghur poems of the last decade.

I can only hope my translation has done it justice.

Read the whole thing.

1/6"
185,"Uyghurs in Crisis: The Jewish Response
Tune in to hear abt the #Jewish response to the persecution of #Uyghurs in China, from both sides of the Atlantic!
22nd Oct |
18:30 CET | 12:30 EST
For more info: https://facebook.com/events/664322817551352?acontext=%7B%22action_history%22%3A[%7B%22surface%22%3A%22page%22%2C%22mechanism%22%3A%22page_admin_bar%22%2C%22extra_data%22%3A%22%7B%5C%22page_id%5C%22%3A389574965144%7D%22%7D%2C%7B%22surface%22%3A%22events_admin_tool%22%2C%22mechanism%22%3A%22events_admin_tool%22%2C%22extra_data%22%3A%22[]%22%7D]%2C%22has_source%22%3Atrue%7D…
To register: https://bit.ly/3n7XNCz"
186,"China is the biggest death threat. Engagement was evils and wrong. This have things with Whether you're Blacks and White.
#HunterBidenEmails #BidenCrimeFamily #China #Uyghurs #Uyghur"
187,"Et tu 
@dartmouth
? #StandUpToCCP #StandUpForHumanRights and against the #CCP genocide of the #Uyghurs in #Xinjiang province. 
@dartmouthalumni
 @SecPompeo
 @mikepompeo"
188,"#Dartmouth warns professors about crossing the 
 #Chinese #CCP government
•Dartmouth to professors: protect students from #HongKong #NationalSecurityLaw 
•#Harvard, #Penn, and #Princeton, ask for same precautions

https://campusreform.org/?ID=15921"
189,"Canada vs #PRC: 
@Alex_at_ACHK
 is right on the yuan. Demand that #CongPeiwu publicly apologize or be PNG'ed https://twitter.com/Alex_at_ACHK/status/1318560807416963074… #cdnfp  #diplomacy #HumanRights
 #Uyghurs #CACN #HongKong #HongKongers #HumanRights
 #ReligiousFreedom"
190,"6/ I love this reply by @DeputyPM_Canada @cafreeland. But strong words need to be backed by action..

Assuring that Canada will ""speak out clearly and without resevation"" means nothing without action."
191,"#Watch!

Human rights lawyer 
@EmmaReillyTweet
 exposes #UNHRC and its pro #China practice
@UN_HRC
 is accountable for the crimes against #Tibetans, #Uyghurs and other ethnic minorities as they never raise any issue against China
@TibetPeople
 @UyghurCongress
 @SalihHudayar"
192,"I was just reading about the horror stories from #PakArmyGenocide of Kashmiris in 1947. Ruling elites of #Pakistan never cared about muslims across the world. 

Why #Pakistan is then silent on #Uyghurs of #China? 

#RaidersInKashmir #UNHRC #HRW #UNSC 
@CSCR_pk
 @ChongJaIan"
193,"If only other Muslim PL players had the courage to speak up for the #Uyghurs then maybe Ozil wouldn’t have been burnt at the stake like this.

Ashamed to be an 
@Arsenal
 fan rn"
194,"Mesut Ozil has been left out of Arsenal’s 25-man Premier League squad and may have played his last game for the club, per @JamesOlley"
195,"A feature report (in Italian) on the #Uyghurs of #Xinjiang by journalist and #SOAS alumna Maria Elena Gottarelli 
@Magot_hellen"
196,"#Boycott #CHINA 
New research reveals hundreds of thousands of Uyghur children in #Chinese-ruled Xinjiang region(East Turkistan) have either one or both parents detained.
International magazine, The Economist, unveiled its latest cover, called Torment of the #Uyghurs. #China"
197,Across the Uyghur region the Chinese Government is destroying Muslim cemeteries. These images from the Associated Press show human bones littering the dirt after cemeteries were bulldozed. #uyghur #uyghurs
198,"Let us raise our voice on #Uyghurs issue, how can global community stay silent?

Why #Pakistan PM 
@ImranKhanPTI
 is even mum about it? Has #Chinese money bought his soul too?

#ChineseStoogePakistan #UyghurGenocide #UyghurLivesMatter 
@UyghurProject
 @JAFU709
 @UyghurCongress"
199,"@CNN
 @BBCWorld
 @business
 
I can’t count the # of times I see “credible” news sources reporting #CCPChina data and talking points verbatim. The #CCP lied about the virus, lies about #Uyghurs, stocks, and govt data. Don’t be GULLIBLE if you want to be CREDIBLE. RT if you agree!"
200,Thread twitter.com/ChinaBeigeBook…
201,"Nuclear imperialism in #Xinjiang; home to #Uyghurs has witnessed stages of crackdown!

Ppl here cn't do cultural & religious practices. They're in a virtual quarantine trying 2 dilute their existence!

I think UN shld open its eye 2 China's politics of hatred & cultural genocide!"
202,"Reporting by 
@TheEconomist
 reveals deepening efforts by Chinese authorities not just to imprison the #Uyghurs, a Muslim-minority people, but also to reduce their number, to wipe out their culture & to hound them wherever in the world they may go. #genocide"
203,"Ppl living under authoritarian regimes are so helpless, scared, and painful. Ppl alone can't fight tyranny. 
Only in solidarity we stand that we could fight for freedom & democracy.
Stand with #HongKong #Thailand #Belarus #Uyghurs
Let us work for a better future together."
204,"Yes, all that “love” brought us #Uyghurs to Genocide ... 

Despicable liars"
205,Love 
206,"Rune Steenberg analyzes the end of the relatively liberal view of culture and customs with #China's turn to politicizing and policing daily life, especially among #Uyghurs. https://tandfonline.com/doi/full/10.1080/14631369.2020.1819201…"
207,"#TheEconomist on #China #Uyghurs #Xinjiang. It's not difficult, a few mouseclicks to #FollowTheMoney All the way back to #OldWorldOrder #Rothschild to understand why 
@TheEconomist
 stinks of propagandised 'thinking' and 'writing'... https://wikizero.com/en/Economist_Group… https://wikizero.com/en/Lynn_Forester_de_Rothschild…"
208,"#TheEconomist 'articles' on #China, in particular #Uyghurs #Xinjiang. It's really not difficult to understand why @TheEconomist stinks of propagandised 'thinking' and 'writing', (using both terms very loosely here) #FollowTheMoney All the way back to #OldWorldOrder #Rothschild"
209,"#TheEconomist 'articles' on #China, in particular #Uyghurs #Xinjiang. It's really not difficult to understand why 
@TheEconomist
 stinks of propagandised 'thinking' and 'writing', (using both terms very loosely here) #FollowTheMoney All the way back to #OldWorldOrder #Rothschild"
210,"Never again is happening again for #Uyghurs today, and the world is just watching.

#UyghurGenocide"
211,"On the page of 
@ArmeniaMODTeam
, #Armenia/ns are convinced that they are winning the war. Once NK is liberated, how will the government explain what happened? Syrian mercenaries? 
? #Uyghurs? Or will they lie and say they still have control over NK? #DontBelieveArmenia"
212,"While y'all are celebrating LeBron, he attacked those speaking up for human rights in #HongKong & #Uyghurs, to protect his profits in China. #Hypocrite #Bronsexuals #LeStans 

Detecting slave-made goods from China is growing harder, U.S. says"
213,".
@UNHumanRights
 refuses to prioritise the safety of #Uyghurs over its relationship with China. 
@UN
 won't investigate, so brave parliamentarians like 
@rglucks1
, 
@EnginEroglu_FW
, 
@PieterOmtzigt
 and 
@ipacglobal
 must hold 
@UN
 to account and stop its complicity in #UyghurGenocide."
214,Halal Organs: A horrific part of the CCP’s genocide of #Uyghurs. See more at: https://instagram.com/campaignforuyghurs?igshid=s7bngd3wtfxd…
215,"How Xinjiang's gulags tear families apart: So many parents have been locked up that officials struggle to cope with the left-behind children

https://economist.com/china/2020/10/17/how-xinjiangs-gulag-tears-families-apart…

#China #Xinjiang #UighurGenocide #Uyghurs"
216,"ANYTHING with ET #ETIM EastRitardiskestan name is worse than Indian #fakenews #JaiHind #Namaste #India 

#JaiHind #Namaste #India #Uyghurs NOT #Xinjiang #China

#Ladakh #ArunachalPradesh #aksaichin #sikkim #pangongTso #GalwanValley #Nepal #Pakistan #Bangladesh #Kashmir #LAC"
217,"“Don’t be sad. Allah is with us.” (Quran 9:40)

#EastTurkistan #EastTurkestan #Uyghurs #Kashmir #Syrie #syria #Arakan #Rohingya #Yemen #Iraq #Azerbaijan #Somalia #Africa #india #Palestine #Quds #Gaza #Idlib #taiz"
218,"China has been brutally torturing, killing, raping and imprisoning innocent #Uyghur community in China. The only crime they committed is to follow their religious faith which China sees as a threat. Uyghur women are forced sterilized & forced to sing songs of glory of Xi Jinping."
219,"Once again, UN’s complicity in this whitewashing exercise mocks the #humanrights
 it was established to protect. #Uyghurs #genocide - coming to a screen near you."
220,"No joke: 
 China—just elected to the U.N. Human Rights Council—to screen film there whitewashing its herding of 1 million Uighur Muslims into camps.

A “heart-melting movie” about a boy, a family of “Uighur goat herders” & an “adorable lamb.”

Why is the U.N. a partner to this?"
221,"@UNHumanRights
 @TheEconomist
  While #Uyghurs flourished in Xinjiang,  A Real  Refugees Camp in Germany committed Serious  Crime!"
222,2000 Refugees Sexually Assaulted 1200 German Girls on New Year's Eve | Armstrong Economics https://armstrongeconomics.com/international-news/europes-current-economy/2000-refugees-involved-in-mass-rape-of-1200-german-girls/#.X45HTQzv_W4.twitter…
223,"At the past decades, #CCP is non-stop to violate the human rights of #Tibetans, #Uyghurs and #HKers. This year, #CCP introduce the so-called national security law which is even applicable to all the people in the world."
224,"Reason &truth is not a propaganda disinformation campaign.  That's just me telling the world you're lying, you're wrong.  --- Mario Cavolo 
#Xinjiang #Uyghurs"
225,"From #ChinaVirus ,we should learn that all of us could be related to the abuses on #HumanRights
 in #China 

It's time for us to voice for #Uyghurs to right the wrong"
226,Hope they can really do something to help free #Uyghurs
227,"Concentration camps, forced marriage, forced labour, forced sterilisation, endless torture and detain such as raping with electric baton...
Pls #BoycottChina & #BoycottBeijing2022, for its violation of human rights n its genocide towards #Uyghurs."
228,"Qelbinur Sidik, a Uyghur Muslim, says she was forcibly sterilized in one of China’s ‘re-education’ camps — now she is speaking out and sharing her story (warning: distressing)"
229,"It is the same, having a small border with Afghanistan does not mean #Uyghurs are religious fanatics"
230,"After China's re-election in the Human Rights Council, the UN definitely lost the right to be taken seriously.
#Uyghurs"
231,The #uyghurs are forcefully sent to residential schools inside forced labour camps in #China ... same anyone else who isnt #han #chinese
232,"China has over the years confiscated #Uyghurs' passports. Even if they were released from the camps, they could not leave China.  #UyghurGenocide"
233,"Just shows, that you have NO IDEA, what's happening to #Uyghurs. The testimonies do not come from a few individuals, but from the family members of 3.000,000 Uyghurs, that have been arbitrarily detained in #Chinese concentration camps and in forced labour. #UyghurGenocide"
234," #Nieuwsuur 19.10.2020 video 8m

#SjoerdDenDaas, 
back from travelling to #EastTurkestan

Filming w the #Uyghurs allowed, but...

#China builds #factories next to #DetentionCamps ev for #ForcedLabour

Talking to locals not possible
Followed everywhere

https://facebook.com/112462576900252/posts/213428496803659/…"
235,"It's sad we are seeing the people of #HongKong face the fate of #Uyghurs.

The #CCP's oppression at home made their hometown inhospitable and drove them out. CCP even blocked their way to the free world, e.g., the 12 #HK youths.

#StandWithHongKong #save12hkyouths"
236,"Fully agree. The evil #CCPChina has already detained millions of #Uyghurs in concentration camps, enforce the numerous amount of this ethnic minority to be slave labours and forcing Uyghur women to go through inhumane surgeries. We must hold #CCP accountable for its atrocities."
237,"Israelis tend to be coffee drinkers, and have a particular liking for #Turkish coffee (קפה טורקי)  I honor the #MilkTeaAlliance and in addition would like to suggest the hashtag #TurkishCoffeeAlliance for ME and Central Asian coffee drinkers to show their support for #Uyghurs "
238,Australia's peak Muslim group has joined with Liberal MP Andrew Hastie to condemn the Chinese government for its persecution of Uighurs in the remote Xinjiang province | @Gallo_Ways https://smh.com.au/politics/federal/proud-australian-tradition-of-calling-out-the-bully-islamic-leaders-praise-andrew-hastie-over-plight-of-uighurs-20201017-p565z3.html?utm_medium=Social&utm_source=Twitter#Echobox=1602918307…
239,Australia's peak Muslim group has joined with Liberal MP Andrew Hastie to condemn the Chinese government for its persecution of Uighurs in the remote Xinjiang province. https://theage.com.au/politics/federal/proud-australian-tradition-of-calling-out-the-bully-islamic-leaders-praise-andrew-hastie-over-plight-of-uighurs-20201017-p565z3.html?utm_medium=Social&utm_source=Twitter#Echobox=1602911325…
240,"Seems like you have no empathy for Uyghurs' suffering, @Sometimes_Wong? There is a huge difference, how #Uyghurs are suffering in their homeland even right now, compared to those that were in Gitmo.  #UyghurGenocide"
241,"Thank you 
@JAFU709
 for speaking truth about people like 
@DanielDumbrill
 & the manipulation tactics they use to defend the #Chinese regime's genocide of #Uyghurs"
242,"Best part? [56:30] when she calls him out for not reading Chinese. It's funny how foreigners who have a limited ability to engage with the language but are still running profitable businesses in the mainland are so insistent on the benefits of a so-called ""bilingual education."""
243,#humantrafficking in board daylight in #Chinazi. They're bargaining for this #Uyghurs little girl. You can only imagine what would happen to her later.  This is insane! #UyghurGenocide
244,Chinese invaders are selling Uyghur children to each other and negotiating with the price
245,"3 million #Uyghurs in concentration camps in #China call for urgent int'l sanctions. The Olympic games of 2022 in Beijing, should be boycoted. China is committing genocide against ethnic minorities & this totally unacceptable in 2020. #Europe 
@vonderleyen
 @Olympics
 @eucopresident"
246,"Quantifying sanctions impact on #Russia for its #HumanRights
 abuses is hard. Let's say $100bn's been affected (seized, frozen, not invested, etc.) by #Magnitsky.

#China's waging a #GENOCIDE of #Uyghurs. Let's say 100K have been murdered. That should be $10tn*1000 in sanctions!"
247,"I have huge respect for Dems like @RepWexton. She's been a House MVP fighting #China's #genocide of #Uyghurs. @EWarren was Senate's 1st to call it “genocide.”

We need more focus on China's #HumanRights
 atrocities. *Millions* of victims… sanction China proportionally w/ #Russia! twitter.com/RepWexton/stat…"
248,"In the context of the #CCP's genocide against the #Uyghurs, any #China expert who is not critical of the CCP can't be taken seriously as an unbiased scholar or journalist."
249,"#Tibet  slave camps 
#Uyghurs slave camps
#NorthKorean slave camps 

really arent the way to grow your economy"
250,"1945 and 2020
Different people, Different Background. 
Same tragedie, Same Look. 
#Auschwitz and #Uyghurs"
251,"I have huge respect for Dems like 
@RepWexton
. She's been a House MVP fighting #China's #genocide of #Uyghurs. 
@EWarren
 was Senate's 1st to call it “genocide.”

We need more focus on China's #HumanRights
 atrocities. *Millions* of victims… sanction China proportionally w/ #Russia!"
252,"The People’s Republic of China’s mass internment of the Uighur people is an egregious violation of human rights & international law.
 
Tomorrow, the House will vote to condemn China's crackdown on ethnic minorities.
 
We must speak out against these abuses.https://apnews.com/4ab0b341a4ec4e648423f2ec47ea5c47…"
253,Forget about the #Uyghurs?
254,This is an incredible initiative. A broad range of faith leaders and human rights organizations have come together to demand action in defence of #uyghurs. Words are not enough. #UyghurGenocide #UyghurLivesMatter #cdnpoli #china
255,"CIJA joins over 100 multi-faith groups, human rights organizations and advocates in calling on the Canadian Government to take concrete action to stop the appalling crimes against humanity being committed by China against the Uyghur in East Turkistan. 

https://cija.ca/we-will-not-remain-silent-in-the-face-of-the-continuing-genocide-of-the-uyghur-people/…"
256,"It is astonishing how Muslim World turned blind eye to the suffering and oppression of Uyghurs. For cheap worldly gain.
China can get away with it because they know Muslims are in weak position.

Dont forget the Uyghur suffering in camps
#UyghurLivesMatter #Uyghurs"
257,"We commend #Kazakhstan 
@MFA_KZ
 for granting asylum to the two #Kazakhs who fled persecution in Occupied #EastTurkistan. We urge all countries in #CentralAsia to grant asylum to #Uyghurs, Kazakhs, #Kyrgyz & all others fleeing #China's genocide."
258,"But France will support Jihadists in
#Syria
#Libya
#Uyghurs in #China 
everywhere except in the French borders. If Hypocrisy was a nation it would be France."
259,France moves to expel 231 jihadis after jihad murder of teacher who showed Muhammad cartoons https://wp.me/p4hgqZ-S3b
260,"""#China - Where Is My Family?""
Testimony from #Uyghur Muslim Mamutjan Abdurehim:Wife in detention since 2017 and possibly sentenced 5 years in internment camps/prison.2 children No contact with family for 3.5 years.
#UyghurHolocaust #UyghurLivesMatter #Uyghurs #UyghurGenocide"
261,"In the Pakistani political scenario, if Islam is a concern then Pakistan must have raise voice for #Uyghurs. National interests always become the priority and that's made us a confused nation. We take steps and after a long/short period, we have to revoke them."
262,"In Pakistan, ""Iron Brother"" China's app proves stronger than Islam.

""Officials said that a big reason behind the ban was the sexualization of underage girls and that TikTok was given several warnings to regulate its content before the ban was imposed.""

https://nytimes.com/2020/10/19/business/pakistan-tiktok-ban.html…"
263,"No, I receive my news from #Uyghurs themselves, who have in the past three years been reporting about their missing relatives in the vast network of #Chinese concentration camps and forced labour. No need for #XinjiangPropaganda  - #UyghurGenocide is real. 
#iStandWithUyghurs"
264,U.S. public gets fake news about China’s Xinjiang https://peoplesworld.org/article/in-xinjiang-controversy-china-is-the-target-of-u-s-violence-against-muslims/…
265,"Human trafficking in China certainly isn't fake news 
. #Uyghurs have for months been transported to other parts of China for forced industrial labour to benefit the regime, which in itself amounts to #humantrafficking 
https://codastory.com/authoritarian-tech/china-uyghur-migration/…"
266,"These CIA bots, disguised as Uyghurs are more harmful than cockroaches, 
 here is one relaying Fake News.
 Report him overwhelmingly. here is the debunk of his lies
https://twitter.com/wan_ofakind/status/1317901909676728323?s=19…"
267,#Uyghurs are subjected to #liveorganharvesting and #forcedlabor in many provinces  of #China along within #EastTurkistan itself. #UyghurHolocaust must be stoped !
268,Honored to convene the President’s Interagency Task Force to Monitor & Combat Trafficking in Persons. @realDonaldTrump is committed to #EndTrafficking by the CCP & around the world. We won’t stop until the CCP halts its deplorable campaign of forced labor and releases detainees.
269,"The oppression & destruction that the Chinese regime attempts to normalize will not stop with the #Uyghurs. 
@iocmedia
 @OIC_OCI
 @oicarabic
 @StateIRF
 @PakPMO
 @Saudi_Gazette
 @AlJazeera_World
 @AJEnglish
 @VOABANGLA
 @uaegov
 @MfaEgypt
 @EgyIndependent
 @DailyNewsEgypt
 #UyghurGenocide"
270,"On August 15, 2020, the government of Anguo city, administered by Baoding prefecture-level city in the northern province of Hebei, demolished the archway of the only Arabic-style mosque in the city."
271,Guess what else is surging in China? Ethnic cleansing and human rights violations against the #Uyghurs
272,"Breaking News: The Chinese economy surged in the last quarter, showing that a fast rebound is possible when the coronavirus is brought firmly under control.
https://nyti.ms/3kbRXhp"
273,English is the most spoken language in the world. Can you guess what No. 2 is?
274,"I have difficult feelings about #Disney , they have given plenty of joy to me growing up, when I spent every saturday waiting for reruns of their old tv shows to begin, on the other hand the #Mulan2020 being set in XinJiang with the #Uyghurs camp I can't forgive."
275,"According to findings from Uyghurs Human Rights organizations, #Xinjiang govt targets to export 4 millions #Uyghurs ""workers"" to other prefectures in 2020. Despite of domestic human trafficking, hope US & other nations can help these ppl. Thank you."
276,"BREAKING: Ads on Uyghur slaves from companies representing Xinjiang Government. You can find such ads from Chinese websites. I can provide more contents to legitimate persons if desired. If such operations continue, what will be left in Uyghurland?"
277,"Here's my 
@just_security
 article assessing this Congress's record on international #HumanRights
 legislation -- with a preview of what the next Congress must take up in early 2021.

#YemenCantWait #Refugees #tps #COVID19 #Venezuela #Rohingya #Borderwall #AsylumSeekers #Uyghurs"
278,"As Americans vote in possibly the most important election in modern history for the US and the world, it’s time to take stock of this #Congress’s record on international #humanrights
.

@JoanneLinDC digs in:

#Uyghur #Rohingya #Yemen #Venezuela #asylum 

https://justsecurity.org/72877/the-116th-congresss-record-on-international-human-rights-the-good-the-bad-and-the-unfinished-business/…"
279,"Please save Uyghur children ASAP
 
The treatment by #CCPChina is violating human rights, as usual.
#CCPChina. There are real salves in China, #Uyghurs are living worse than animals, they don't have rights and freedom."
280,"All countries must Boycott #WinterGames 2020 in #Beijing, and every event in #China until #CCP stops persecution of #Uyghurs, #HongKong, #Tibetans and Changes it's policies on #Taiwan and other neighbouring nations."
281,"Editor’s Picks - A selection of three essential articles read aloud from the latest issue of 
@TheEconomist
 
This week, the persecution of the #Uyghurs, #Trumponomics (11:05), and #Formula1: man vs machine (17:20)."
282,"@SalihHudayar
 We urge everyone including #Uyghurs, #Kazakhs, #Kyrgyz, #Uzbeks, & #Tatars to be be vigilant and not fall for #China’s ancient divide and conquer tactics. We must focus our energy on our real enemy and not one another. - East Turkistan Government in Exile"
283,"Trump encouraged CCP leader, Xi, to incarcerate millions of #Uyghurs? 

so what are you talking about? 

Christian-right fanatics have no shame but it's the ideology and pathology of ""prosperity Gospel"" that poisoned their minds and hearts."
284,"Transporting #Uyghurs to other parts of #China for industrial slave labour amounts to #humantrafficking  Rather that trying to halt the practice, the CCP encourages it in order to make a profit for itself. 
Human Trafficking Found in Xinjiang Supply Chains
https://blog.assentcompliance.com/index.php/xinjiang-supply-chain-human-trafficking/…"
285,"If you are talking about the very very extreme cases, I have to say that there could be bad people among 1.4 billion Chinese, even if I did not see any solid proof in this report. But I am not sure whether people in Pakistan know this.
Well i think you are trying... twitter.com/AnneDestiny1/s…"
286,"My new oped in 
@ForeignPolicy
 

""I am just perplexed, bewildered, and heartbroken that ...he remains so silent on the biggest human rights travesties of our time ... about which he has not said a word""

#HongKong #Uyghurs #Tibet"
287,"Pope Francis speaks beautifully on human rights—unless it's about China, Benedict Rogers writes.
https://buff.ly/3o4cpmT"
288,#Uyghurs are treated as product.
289,"#CCPChina catch our kids ! Please sanction China !
CCP spread the virus to the world, suppress freedom of HKers and #Uyghurs , supporting tyranny around the world !
WE MUST #MakeChinaPay"
290,"[HK asylum seekers could be sent to #China's secret courts]

1. Twelve #HKers, all involved in #hkprotests, were detained by #China’s coast guard today when fleeing to #Taiwan for political asylum. All of them are now detained in #China."
291,"https://bit.ly/2IAFDt9

Crown prince Mohammad bin Salman made a public statement supporting #China’s treatment of #Uyghurs, who r now also being deported to #China while legally living in
or there on pilgrimage. 
is successfully buying the silence of Mslm majority countries.."
292,"I Will never stop  fighting for #Uyghur rights.
#UyghurGenocide #UyghursLivesMatter #Uyghurs"
293,"@arslan_hidayat
 desires #uyghurs in Xinjiang to be treated with such human rights as they were in Guantanamo Bay."
294,"Uyghur girls, once of a legal age, are pressed by officials to marry Han Chinese men. Refusal can be risky
 https://econ.trib.al/BVkxad3"""
295,Certainly hope that the plight of the #Uyghurs will be raised and their identity and rights be defended.
