index,1. open,2. high,3. low,4. close,5. volume
2020-11-11 20:00:00,119.64,119.64,119.35,119.35,138431.0
2020-11-11 19:00:00,119.5,119.71,119.35,119.61,170695.0
2020-11-11 18:00:00,119.59,120.07,119.0,119.57,803794.0
2020-11-11 17:00:00,119.49,119.73,119.47,119.59,1503189.0
2020-11-11 16:00:00,118.93,119.63,118.81,119.495,14197527.0
2020-11-11 15:00:00,119.11,119.54,118.71,118.925,10420579.0
2020-11-11 14:00:00,119.22,119.56,119.04,119.12,11880395.0
2020-11-11 13:00:00,118.775,119.48,118.53,119.23,12296858.0
2020-11-11 12:00:00,118.17,118.78,117.835,118.776,10938940.0
2020-11-11 11:00:00,117.705,118.5,117.64,118.18,17326086.0
2020-11-11 10:00:00,117.4,118.08,116.44,117.7099,26056214.0
2020-11-11 09:00:00,117.0999,117.91,116.93,117.3313,731330.0
2020-11-11 08:00:00,117.18,117.61,116.95,117.54,399164.0
2020-11-11 07:00:00,117.17,117.5,116.85,117.2,58279.0
2020-11-11 06:00:00,117.16,117.2,116.66,117.17,27451.0
2020-11-11 05:00:00,117.67,117.67,116.85,117.16,70429.0
2020-11-10 20:00:00,115.95,116.08,115.68,116.05,194082.0
2020-11-10 19:00:00,116.03,116.24,115.9,115.94,224457.0
2020-11-10 18:00:00,116.04,116.13,115.99,116.04,193143.0
2020-11-10 17:00:00,115.97,116.9132,115.95,116.06,6524988.0
2020-11-10 16:00:00,116.74,117.0177,115.73,115.97,18718342.0
2020-11-10 15:00:00,116.85,117.29,115.99,116.75,16912584.0
2020-11-10 14:00:00,116.93,117.59,115.88,116.8701,15816729.0
2020-11-10 13:00:00,116.678,117.47,115.81,116.92,13702664.0
2020-11-10 12:00:00,115.0,117.33,114.9,116.6741,15466382.0
2020-11-10 11:00:00,115.8,116.94,114.13,115.0,21343927.0
2020-11-10 10:00:00,115.4,117.59,115.179,115.805,17182729.0
2020-11-10 09:00:00,114.9,115.7,114.5,115.43,1028012.0
2020-11-10 08:00:00,115.05,115.7,114.72,114.81,761489.0
2020-11-10 07:00:00,114.02,115.09,114.0,114.95,170709.0
2020-11-10 06:00:00,115.84,115.96,114.02,114.02,192810.0
2020-11-10 05:00:00,116.84,117.0,115.55,115.84,225652.0
2020-11-09 20:00:00,117.2,117.24,116.43,116.88,257928.0
2020-11-09 19:00:00,117.13,120.5,117.05,117.18,322094.0
2020-11-09 18:00:00,116.8,117.24,116.56,117.11,372283.0
2020-11-09 17:00:00,116.32,117.0,116.03,116.79,4125682.0
2020-11-09 16:00:00,118.54,118.94,116.05,116.32,25002217.0
2020-11-09 15:00:00,119.63,119.82,118.2,118.5228,15733168.0
2020-11-09 14:00:00,120.81,121.0,119.38,119.64,12537519.0
2020-11-09 13:00:00,120.57,120.9501,120.0,120.81,12983697.0
2020-11-09 12:00:00,120.64,121.68,119.72,120.56,16454998.0
2020-11-09 11:00:00,119.73,121.99,119.67,120.63,28715419.0
2020-11-09 10:00:00,120.17,121.69,118.48,119.7432,24085718.0
2020-11-09 09:00:00,119.75,121.4,117.9,120.09,2637609.0
2020-11-09 08:00:00,120.98,121.29,117.93,119.79,1857641.0
2020-11-09 07:00:00,121.38,121.96,120.51,121.06,175988.0
2020-11-09 06:00:00,120.97,121.68,120.97,121.38,72399.0
2020-11-09 05:00:00,121.2,121.6,120.7,120.9,167007.0
2020-11-06 20:00:00,118.45,118.55,118.44,118.52,113015.0
2020-11-06 19:00:00,118.53,118.6,118.42,118.43,71595.0
2020-11-06 18:00:00,118.52,118.69,118.5,118.53,155998.0
2020-11-06 17:00:00,118.69,118.85,118.42,118.52,2657415.0
2020-11-06 16:00:00,118.47,119.06,118.09,118.685,16401880.0
2020-11-06 15:00:00,119.0,119.17,118.22,118.47,9416793.0
2020-11-06 14:00:00,118.885,119.2,118.83,119.0025,7573565.0
2020-11-06 13:00:00,118.74,119.19,118.28,118.8842,11747431.0
2020-11-06 12:00:00,117.4143,118.82,117.3084,118.74,15775936.0
2020-11-06 11:00:00,116.3,118.01,116.1311,117.4199,22493743.0
2020-11-06 10:00:00,118.16,118.64,116.13,116.29,18489571.0
2020-11-06 09:00:00,117.3199,118.2,116.79,118.1,2025326.0
2020-11-06 08:00:00,117.04,117.58,116.96,116.96,365408.0
2020-11-06 07:00:00,116.98,117.43,116.9,117.1,33501.0
2020-11-06 06:00:00,116.77,117.03,116.54,116.81,57555.0
2020-11-06 05:00:00,117.77,117.77,116.7,116.76,104559.0
2020-11-05 20:00:00,118.4953,118.5153,117.7766,117.7965,410363.0
2020-11-05 19:00:00,118.9545,118.9945,118.2957,118.5153,319327.0
2020-11-05 18:00:00,118.9745,119.0444,118.9446,118.9645,185661.0
2020-11-05 17:00:00,118.8248,119.0943,118.7549,118.9945,3404354.0
2020-11-05 16:00:00,118.9545,119.0943,118.2508,118.7848,18663611.0
2020-11-05 15:00:00,118.1959,119.0644,118.1409,118.9578,13607492.0
2020-11-05 14:00:00,117.7766,118.2657,117.6368,118.2058,8636575.0
2020-11-05 13:00:00,117.9163,118.1759,117.2076,117.7766,12357173.0
2020-11-05 12:00:00,118.1859,118.3855,117.7167,117.9059,11588751.0
2020-11-05 11:00:00,118.556,119.0344,117.3773,118.1959,23136368.0
2020-11-05 10:00:00,117.7766,119.4137,116.6671,118.5652,24462620.0
2020-11-05 09:00:00,117.7765,118.086,115.0313,117.7856,1147883.0
2020-11-05 08:00:00,117.9663,118.1959,117.3673,118.0062,644157.0
2020-11-05 07:00:00,118.4454,118.7449,117.9263,118.0062,94922.0
2020-11-05 06:00:00,118.0162,118.7948,117.7566,118.4454,136766.0
2020-11-05 05:00:00,117.4971,118.1959,117.2974,117.8964,138530.0
2020-11-04 20:00:00,115.3009,115.8,115.2809,115.79,216246.0
2020-11-04 19:00:00,115.4007,115.7002,115.231,115.3009,275169.0
2020-11-04 18:00:00,115.5504,115.6902,115.3208,115.4107,203447.0
2020-11-04 17:00:00,114.7518,115.8,114.6819,115.6003,2679449.0
2020-11-04 16:00:00,114.8367,115.3009,114.3725,114.7418,19518037.0
2020-11-04 15:00:00,114.6719,114.9714,114.2427,114.8317,12204047.0
2020-11-04 14:00:00,114.9922,115.3058,114.4224,114.662,12912896.0
2020-11-04 13:00:00,114.9015,115.3907,114.4723,114.9947,14080047.0
2020-11-04 12:00:00,114.6919,115.0213,113.6138,114.9115,15037908.0
2020-11-04 11:00:00,113.3542,115.3108,113.3043,114.6919,26421748.0
2020-11-04 10:00:00,114.1429,114.2826,112.1563,113.3542,22164602.0
2020-11-04 09:00:00,113.9731,114.6919,112.326,114.1528,2055129.0
2020-11-04 08:00:00,112.7053,114.0929,112.306,113.9831,1100903.0
2020-11-04 07:00:00,112.9449,113.3941,112.1064,112.7752,95193.0
2020-11-04 06:00:00,113.5738,113.5738,111.9566,112.925,204433.0
2020-11-04 05:00:00,113.1046,114.3824,112.8052,113.6936,327029.0
2020-11-03 20:00:00,110.609,110.8485,110.01,110.0599,387307.0
2020-11-03 19:00:00,110.1897,110.7088,110.0699,110.6189,290742.0
2020-11-03 18:00:00,110.0699,110.2496,109.99,110.1997,134877.0
2020-11-03 17:00:00,110.2496,110.6488,109.8902,110.0599,2811629.0
2020-11-03 16:00:00,110.1787,111.2978,109.8004,110.1847,20174238.0
2020-11-03 15:00:00,109.6606,110.279,109.6107,110.1757,9870648.0
2020-11-03 14:00:00,110.5191,110.7238,109.5708,109.6606,9865961.0
2020-11-03 13:00:00,110.7188,110.8785,110.3394,110.5278,9281340.0
2020-11-03 12:00:00,111.0083,111.2578,110.4892,110.7138,13555969.0
