index,1. open,2. high,3. low,4. close,5. volume
2020-11-11 20:00:00,216.7,216.73,216.4,216.4,11619.0
2020-11-11 19:00:00,216.8,216.87,216.6,216.7,13100.0
2020-11-11 18:00:00,216.77,216.9,216.77,216.8,4708.0
2020-11-11 17:00:00,216.55,217.3,216.5283,216.98,526011.0
2020-11-11 16:00:00,216.27,217.16,216.0314,216.4,3709907.0
2020-11-11 15:00:00,217.28,218.04,216.19,216.32,2453315.0
2020-11-11 14:00:00,216.99,217.51,216.449,217.26,2081567.0
2020-11-11 13:00:00,216.928,217.41,216.3805,216.98,2248750.0
2020-11-11 12:00:00,215.62,216.93,215.15,216.915,2632207.0
2020-11-11 11:00:00,215.38,216.68,214.7,215.64,4378246.0
2020-11-11 10:00:00,213.1,215.69,212.2,215.37,8102482.0
2020-11-11 09:00:00,213.31,214.5,213.0,213.15,196947.0
2020-11-11 08:00:00,213.92,214.19,213.23,213.92,68700.0
2020-11-11 07:00:00,213.4,214.26,213.34,214.25,20505.0
2020-11-11 06:00:00,213.9,214.2,213.2,213.44,11221.0
2020-11-11 05:00:00,212.69,213.88,212.69,213.7,9879.0
2020-11-10 20:00:00,210.8,211.1,210.52,211.01,34156.0
2020-11-10 19:00:00,211.27,211.4,210.8,210.8,30703.0
2020-11-10 18:00:00,211.2,211.39,211.15,211.29,92809.0
2020-11-10 17:00:00,211.01,211.45,211.01,211.15,1091217.0
2020-11-10 16:00:00,210.1,211.28,209.72,211.02,6523217.0
2020-11-10 15:00:00,211.7,212.31,209.85,210.11,5768011.0
2020-11-10 14:00:00,212.47,212.95,210.32,211.73,3754083.0
2020-11-10 13:00:00,211.0879,213.2,211.04,212.43,5445279.0
2020-11-10 12:00:00,211.195,213.21,210.74,211.08,5354982.0
2020-11-10 11:00:00,213.945,214.59,210.3,211.21,7710887.0
2020-11-10 10:00:00,215.0999,216.5,212.9,213.9035,5357641.0
2020-11-10 09:00:00,214.3429,215.4,213.8,215.11,172990.0
2020-11-10 08:00:00,214.55,215.33,213.58,213.9,169051.0
2020-11-10 07:00:00,214.05,215.0,213.9,214.54,42398.0
2020-11-10 06:00:00,216.67,216.7,214.12,214.29,38705.0
2020-11-10 05:00:00,218.0,218.0,215.69,216.5,27150.0
2020-11-09 20:00:00,219.32,219.4,218.15,218.78,48693.0
2020-11-09 19:00:00,219.31,219.98,218.73,219.5,16788.0
2020-11-09 18:00:00,218.55,219.46,218.39,219.35,26532.0
2020-11-09 17:00:00,218.39,219.23,217.95,218.79,2690839.0
2020-11-09 16:00:00,222.01,224.41,217.88,218.38,6653977.0
2020-11-09 15:00:00,222.8827,223.08,220.78,222.0,3667023.0
2020-11-09 14:00:00,224.76,225.17,222.3363,222.91,3152660.0
2020-11-09 13:00:00,224.91,225.58,223.81,224.78,3988710.0
2020-11-09 12:00:00,224.69,226.09,223.46,224.91,3933688.0
2020-11-09 11:00:00,224.78,228.12,223.8,224.7,6482968.0
2020-11-09 10:00:00,223.0,226.55,221.7,224.81,5576835.0
2020-11-09 09:00:00,225.5,226.01,217.9998,222.75,507836.0
2020-11-09 08:00:00,225.55,226.0,217.87,220.77,547128.0
2020-11-09 07:00:00,228.07,229.0,225.72,226.0,47001.0
2020-11-09 06:00:00,227.5,228.19,227.5,228.19,13814.0
2020-11-09 05:00:00,227.5,228.47,226.88,227.4,15818.0
2020-11-06 20:00:00,223.37,223.46,223.25,223.4,13453.0
2020-11-06 19:00:00,223.59,223.65,223.29,223.37,4917.0
2020-11-06 18:00:00,223.75,223.9,223.5701,223.58,45651.0
2020-11-06 17:00:00,223.72,223.99,223.5,223.98,799227.0
